Date,Desktop,Mobile,Tablet
2025-05-22,1642,608,1334
2025-05-23,765,752,1388
2025-05-24,495,521,1362
2025-05-25,416,1192,1816
2025-05-26,1792,1729,1294
2025-05-27,593,1514,894
2025-05-28,1383,880,712
2025-05-29,365,447,1389
2025-05-30,957,1956,726
2025-05-31,1226,486,1050
2025-06-01,958,1035,682
2025-06-02,1623,1971,874
2025-06-03,1724,224,1448
2025-06-04,316,1943,1684
2025-06-05,220,1969,1914
2025-06-06,201,1820,825
2025-06-07,1788,1154,233
2025-06-08,1754,1625,1702
2025-06-09,433,1882,509
2025-06-10,1768,452,327
2025-06-11,899,1394,1587
2025-06-12,914,1524,1130
2025-06-13,1675,887,920
2025-06-14,1548,499,1922
2025-06-15,797,1856,887
2025-06-16,732,888,914
2025-06-17,1305,471,2000
2025-06-18,1811,1346,1589
2025-06-19,1691,1445,1216
2025-06-20,586,475,742
