Date,Male,Female,Other
2025-05-22,251,576,799
2025-05-23,570,634,393
2025-05-24,689,743,851
2025-05-25,811,952,476
2025-05-26,551,392,661
2025-05-27,774,740,458
2025-05-28,836,671,251
2025-05-29,944,407,297
2025-05-30,598,274,239
2025-05-31,630,901,214
2025-06-01,496,982,199
2025-06-02,909,963,212
2025-06-03,347,637,298
2025-06-04,216,924,481
2025-06-05,611,375,889
2025-06-06,276,920,533
2025-06-07,628,103,359
2025-06-08,497,557,525
2025-06-09,489,641,508
2025-06-10,586,896,888
2025-06-11,847,796,182
2025-06-12,468,578,201
2025-06-13,283,508,677
2025-06-14,519,250,268
2025-06-15,757,226,414
2025-06-16,892,566,117
2025-06-17,541,750,647
2025-06-18,917,936,771
2025-06-19,534,482,330
2025-06-20,802,766,618
