Date,California,Bavaria,Maharashtra,Abuja,New South Wales
2025-05-22,107,156,414,270,309
2025-05-23,57,319,114,201,489
2025-05-24,362,93,292,399,443
2025-05-25,62,159,205,326,101
2025-05-26,436,45,469,447,381
2025-05-27,465,247,88,247,200
2025-05-28,206,500,7,363,134
2025-05-29,297,188,83,303,69
2025-05-30,336,254,183,10,234
2025-05-31,182,235,26,14,421
2025-06-01,330,106,378,210,424
2025-06-02,103,422,25,152,165
2025-06-03,361,161,340,172,372
2025-06-04,119,452,318,20,83
2025-06-05,165,285,249,492,290
2025-06-06,27,315,331,348,145
2025-06-07,96,24,65,71,387
2025-06-08,447,327,467,338,417
2025-06-09,169,458,123,146,342
2025-06-10,429,44,366,408,189
2025-06-11,55,263,205,178,384
2025-06-12,461,348,306,116,104
2025-06-13,441,479,352,475,389
2025-06-14,188,26,54,40,4
2025-06-15,407,469,361,87,309
2025-06-16,5,7,167,33,359
2025-06-17,197,390,25,395,51
2025-06-18,189,371,194,241,285
2025-06-19,361,318,329,401,376
2025-06-20,374,483,99,258,356
