Date,click_ActiveUsers,scroll_ActiveUsers,video_play_ActiveUsers,click_EventCount,scroll_EventCount,video_play_EventCount
2025-05-22,99,358,83,139,117,288
2025-05-23,116,382,70,197,69,129
2025-05-24,100,431,139,332,81,276
2025-05-25,131,466,57,203,75,251
2025-05-26,200,484,153,336,89,173
2025-05-27,115,359,63,160,170,688
2025-05-28,176,199,39,186,173,339
2025-05-29,135,472,104,109,165,459
2025-05-30,84,260,21,92,88,404
2025-05-31,85,189,171,691,111,264
2025-06-01,71,124,173,856,55,141
2025-06-02,108,510,68,299,64,69
2025-06-03,160,570,186,584,39,119
2025-06-04,78,143,44,184,29,54
2025-06-05,115,415,136,518,134,599
2025-06-06,30,145,82,286,167,593
2025-06-07,134,565,59,156,95,178
2025-06-08,33,45,68,297,54,192
2025-06-09,144,676,55,150,21,79
2025-06-10,159,451,198,287,153,442
2025-06-11,57,137,91,193,186,373
2025-06-12,27,52,126,527,68,103
2025-06-13,157,654,33,66,109,523
2025-06-14,185,367,103,254,114,253
2025-06-15,199,235,11,25,153,299
2025-06-16,148,176,60,222,11,16
2025-06-17,190,306,158,587,96,318
2025-06-18,120,445,132,613,133,574
2025-06-19,44,149,188,905,79,222
2025-06-20,26,57,184,784,75,283
