Date,google.com,bing.com,facebook.com,newsletter
2025-05-22,229,443,799,722
2025-05-23,568,746,332,587
2025-05-24,739,652,402,364
2025-05-25,90,646,79,424
2025-05-26,640,665,599,189
2025-05-27,589,474,776,457
2025-05-28,641,556,443,656
2025-05-29,359,116,100,580
2025-05-30,750,503,494,682
2025-05-31,398,571,52,152
2025-06-01,331,729,769,530
2025-06-02,705,747,350,691
2025-06-03,415,529,118,181
2025-06-04,414,60,757,312
2025-06-05,707,133,273,610
2025-06-06,382,186,331,94
2025-06-07,50,523,648,180
2025-06-08,366,775,529,790
2025-06-09,525,598,194,758
2025-06-10,506,279,474,317
2025-06-11,383,91,542,613
2025-06-12,758,497,788,525
2025-06-13,627,678,540,208
2025-06-14,255,196,119,492
2025-06-15,644,273,71,664
2025-06-16,208,487,453,586
2025-06-17,305,167,761,554
2025-06-18,694,623,425,121
2025-06-19,165,767,157,560
2025-06-20,231,277,75,56
