Date,PageViews,TotalUsers,AvgTimeOnSite,BounceRate,PagesPerSession
2025-05-22,1801,4073,232.77,44.89,1.95
2025-05-23,3318,2321,157.26,67.17,3.08
2025-05-24,1471,2145,166.19,20.94,4.02
2025-05-25,2138,1376,96.11,67.12,3.05
2025-05-26,2997,2118,206.72,42.54,4.26
2025-05-27,1430,2257,221.17,47.85,4.94
2025-05-28,1748,4321,224.27,42.6,3.14
2025-05-29,2777,1355,32.99,69.35,3.85
2025-05-30,3048,3135,198.27,26.62,2.32
2025-05-31,2353,2533,68.3,22.31,3.49
2025-06-01,2619,2110,291.56,48.75,2.95
2025-06-02,3180,3632,109.52,26.03,3.09
2025-06-03,1107,2288,128.5,64.7,1.68
2025-06-04,3760,1928,78.43,36.92,4.03
2025-06-05,3224,3356,270.12,41.23,1.89
2025-06-06,2476,2345,204.14,67.37,1.59
2025-06-07,1009,1705,122.82,27.52,4.71
2025-06-08,3399,4275,30.88,68.36,4.66
2025-06-09,1759,3464,129.75,67.6,4.55
2025-06-10,3751,2505,58.64,52.32,4.51
2025-06-11,2037,1447,206.63,41.94,4.69
2025-06-12,2131,2227,202.65,44.9,4.56
2025-06-13,3769,3865,174.71,41.88,4.67
2025-06-14,1350,2796,260.72,21.33,4.56
2025-06-15,1152,1417,176.57,26.78,3.7
2025-06-16,2780,1461,167.46,58.63,2.15
2025-06-17,4138,1503,125.36,46.95,3.02
2025-06-18,1702,2572,211.99,21.46,3.67
2025-06-19,3486,1332,210.36,60.76,4.56
2025-06-20,2137,4356,98.35,64.25,4.3
