Date,google.com_Visits,bing.com_Visits,facebook.com_Visits,newsletter_Visits
2025-05-22,402,422,425,327
2025-05-23,185,383,190,183
2025-05-24,124,346,455,454
2025-05-25,114,404,332,105
2025-05-26,68,135,464,251
2025-05-27,447,292,390,262
2025-05-28,400,234,498,454
2025-05-29,75,52,220,296
2025-05-30,376,430,274,443
2025-05-31,69,300,310,161
2025-06-01,98,414,416,66
2025-06-02,444,317,443,474
2025-06-03,100,293,139,449
2025-06-04,487,463,326,73
2025-06-05,82,241,372,197
2025-06-06,175,125,333,201
2025-06-07,306,102,316,67
2025-06-08,229,199,259,332
2025-06-09,407,238,222,97
2025-06-10,414,471,471,403
2025-06-11,328,171,276,100
2025-06-12,302,435,115,164
2025-06-13,491,237,191,212
2025-06-14,229,475,65,249
2025-06-15,315,189,446,50
2025-06-16,66,241,349,360
2025-06-17,432,164,404,408
2025-06-18,274,126,402,496
2025-06-19,442,254,130,109
2025-06-20,431,218,427,464
