Result
**Extracted Information:**
### Data Overview
| Field | Value |
| --- | --- |
"| Date | 15.04.2021, 11:44 PM |"
"| Percentage of users from Google | 12,9% |"
"| Percentage of users from Bing | 16,1% |"
"| Percentage of users from other sources | 61,3% |"
### New Users
| Source | Number of new users |
| --- | --- |
| Google (direct) | 19 |
| kompetenznetz-einsamkeit.de | 5 |
| Bing | 1 |
| chancenmacher.de | 1 |
| linkedin.com | 1 |
| ecosia.org | 0 |
| fidjgce.r.bh.d.sendibt3.com | 0 |
### Page Views
| Number of page views | Value |
| --- | --- |
| 0 | 100 |
| 200 | 300 |
| 400 | 400 |
### Most Popular Pages
| Page Title | Number of views |
| --- | --- |
| Ich brauche Redezeit. | REDEZEIT FÜR DICH #virtualsupporttalks | 143 |
| Willkommen | REDEZEIT FÜR DICH #virtualsupporttalks | 75 |
| Ich höre zu! | REDEZEIT FÜR DICH #virtualsupporttalks | 11 |
### Referring Sources
| Source | Number of visits | Average time on site (minutes) |
| --- | --- | --- |
| Google (organic) | 18 | 0.93 |
| Direct | 9 | 1.10 |
| Google (cpc) | 6 | 0.63 |
### Device Usage
| Device Category | Number of users |
| --- | --- |
"| Mobile | 47,8% |"
"| Desktop | 51,5% |"
| Tablet | 0.7% |
### User Behavior
| Event Label | Number of occurrences |
| --- | --- |
| Checked | 36 |
| Conversion | 36 |
| Email | 36 |
### Average Time on Site
| Date | Average time on site (minutes) |
| --- | --- |
| 12.06.2023 | 1.46 |
### Bounce Rate
| Date | Bounce rate (%) |
| --- | --- |
"| 12.06.2023 | 14,81 % |"
### Pages per Session
| Date | Average pages per session |
| --- | --- |
| 12.06.2023 | 5.57
