NR;Geschlecht;Alter;Nielsen;Bundesland;Arbeitsstatus;Kinder im Haushalt (<18);Haushaltsgröße;Haushaltsnettoeinkommen;Familienstand;Berufs- / Akademische Bildung;Schulbildung;Stadt;Urban (>100k Einw.);PLZ;Land;Platform;"1. <p>Was beschreibt deine aktuelle Wohnsituation am besten?&nbsp;</p>";"2. <p>Wie viele Kinder hast du?&nbsp;</p>";3. <p>Wie alt ist dein (ältestes) Kind?</p>;4. <p>Wie alt ist dein zweitältestes Kind?</p>;5. <p>Wie alt ist dein drittältestes Kind?</p>;6. <p>Wie alt ist dein viertältestes Kind?</p>;"7. <p>Wenn du spontan an eine Marke denkst, die für deine Familie/in deiner Familie gerade eine Rolle spielt. Welche ist es?&nbsp;</p><p><br></p>";8. <p>Auf welche Spielzeugmarke können deine Kinder gerade nicht verzichten? </p>;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Alles in allem bin ich zufrieden mit meinem Familienleben;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Ich fühle mich (im Familienalltag) extrem belastet;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Die Klimakrise belastet mich und unser Familienleben;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Die Inflation belastet mich und unser Familienleben;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Ich fühle mich (im Familienalltag) häufig einsam;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Beruf;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Kind/er;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Geld/Finanzen;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:(Schwieger)Eltern;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Gesundheitliche Probleme;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Vorsorge bzw. Rente;11. <p>In welchem Bereich fühlst du dich mit deiner Familie am meisten unter Druck gesetzt?</p>;12. <p>Wie viel Zeit kannst du dir im Alltag pro Tag für dich selbst (Me-Time) nehmen?</p>;13. <p>Wie verbringst du diese Zeit (Me-Time) überwiegend? </p>;14. <p>Wie kommen du und deine Familie derzeit mit eurem Haushaltsnettoeinkommen zurecht? </p>;15. <p>Hattest du/hatte deine Familie in den letzten zwei Monaten externe Unterstützung im Familienalltag (nicht von den direkten Familienmitgliedern aber z.B. von einem Babysitter)?</p>;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Nachbarn;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Freunde;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Kolleg:innen;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Offizielle Einrichtungen;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Babysitter;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Au-pair/Nanny;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:freetext;17. <p>Wenn du für 2023 eine Familienurlaub/Reise planst, wohin soll es als nächstes gehen? </p>;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit dem Auto;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit einem Wohnmobil/wagen;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit dem Flugzeug;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit der Bahn;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit dem (Reise)Bus;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit einem Kreuzfahrtschiff;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit der Fähre;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:freetext;19. <p>Haben „Verschwörungstheorien“ (z.B. die Erde wäre flach, Impfungen würden einhergehen mit der Einpflanzung von Chips zur Gedankenkontrolle o.ä.) Einfluss auf deine Familie?</p>;20. <p>Gibt es jemanden in deiner Familie oder familiären Umgebung, der dir Unbehagen oder Angst bereitet?</p>;21. <p>Benötigst du Hilfe?</p>;22. Du siehst nun ein paar Begriffe. Bitte wähle die korrekte Antwort. Welcher der folgenden Begriffe passt nicht zu den anderen? Achtung: Kontrollfrage!
1;f;56;6;Mecklenburg-Vorpommern;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Rostock;1;18109;DEU;Android;Alleine wohnend;1;Über 18;-;-;-;gar keine;Lego;5;2;2;4;2;2;3;2;2;2;2;Ich fühle mich nicht unter Druck gesetzt;1 bis 2 Stunden;Lesen;Gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben keinen Einfluss;Nein;-;Pudding
2;f;40;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Voehringen;0;89269;DEU;iOS;Mit Partner*in & Kind(ern);1;11 bis 18 Jahre;-;-;-;nike;Ravensburger;5;5;5;5;5;5;4;5;3;5;4;Gesellschaft, die Familien nicht genug unterstützt;30 bis 60 Minuten;Aufräumen;Sehr gut;Ja;0;1;0;0;0;0;0;Deutschland;1;0;0;0;0;0;0;0;Haben eher einen Einfluss;Nein;-;Pudding
3;f;60;3a;Rheinland-Pfalz;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;2000€ bis 3000€;Single / Ledig;(Noch) kein Abschluss;Hauptschulabschluss;Seinsfeld;0;54655;DEU;Android;Mit Kind(ern);4;Über 18;Über 18;Über 18;Über 18;switch;nintendo;4;4;6;6;1;6;6;6;6;6;6;Gesellschaft, die Familien nicht genug unterstützt;30 bis 60 Minuten;Am Handy;Überhaupt nicht gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben überhaupt keinen Einfluss;Nein;-;Pudding
4;m;41;1;Schleswig-Holstein;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Glinde;0;21509;DEU;Android;Mit Partner*in & Kind(ern);1;11 bis 18 Jahre;-;-;-;dr oetker;mattel;5;4;5;5;5;5;5;5;4;5;5;Politik, die Familien nicht genug berücksichtigt;30 bis 60 Minuten;Lesen;Gut;Ja;0;0;0;0;1;0;0;Osteuropa (Russland, Bulgarien etc.);0;0;0;1;0;0;0;0;Haben keinen Einfluss;Ja;-;Pudding
5;m;24;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Muelheim an der Ruhr;1;45476;DEU;iOS;Mit Partner*in & Kind(ern);1;Unter 1 Jahr;-;-;-;hipp,nike,coca cola;gummi ball;6;2;1;3;1;1;3;4;1;3;3;Ich fühle mich nicht unter Druck gesetzt;30 bis 60 Minuten;Am Handy;Gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);1;0;1;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
6;m;47;6;Brandenburg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Potsdam;1;14480;DEU;iOS;Mit Partner*in & Kind(ern);1;11 bis 18 Jahre;-;-;-;Ikea,Vorwerk;Schleich;5;5;2;3;2;2;3;4;3;4;4;Vereinbarkeit Familie & Beruf;30 bis 60 Minuten;Sport;Gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
7;m;50;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Leonberg;0;71229;DEU;iOS;Mit Partner*in & Kind(ern);1;Über 18;-;-;-;Nike;v-tech;6;3;1;5;2;4;6;5;5;2;5;Vereinbarkeit Familie & Beruf;30 bis 60 Minuten;Aufräumen;Gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);0;0;1;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
8;f;50;2;Nordrhein-Westfalen;in Rente;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Lehre / Ausbildung;Hauptschulabschluss;Moenchengladbach;1;41189;DEU;Android;Alleine wohnend;1;11 bis 18 Jahre;-;-;-;Nivea;Lego;4;5;3;4;4;3;6;4;1;6;6;Ich fühle mich nicht unter Druck gesetzt;Gar keine;-;Gut;Ja;0;1;0;0;0;0;0;Südeuropa (Italien, Portugal, Spanien etc.);0;0;1;0;0;0;0;0;Haben keinen Einfluss;Ja;-;Pudding
9;f;22;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Bottrop;1;46238;DEU;Android;Mit Partner*in;2;4 bis 6 Jahre;1 bis 3 Jahre;-;-;Louis Vuitton,Gucci,Nike,Adidas;Lego;6;1;4;3;1;3;2;2;2;2;2;Ich fühle mich nicht unter Druck gesetzt;> 2 Stunden;Am Handy;Sehr gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);1;0;0;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
10;f;47;2;Nordrhein-Westfalen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;<1000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Hilden;0;40723;DEU;Android;Mit Partner*in & Kind(ern);3;11 bis 18 Jahre;11 bis 18 Jahre;11 bis 18 Jahre;-;Converse;keine;4;4;3;6;5;5;5;6;1;6;5;Ich fühle mich nicht unter Druck gesetzt;> 2 Stunden;Hobbys Garten, stricken , DIY;Überhaupt nicht gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben keinen Einfluss;Nein;-;Pudding
